idx,word,occurrences
0,brush,498
1,hard,495
2,white,495
3,container,492
4,feet,482
5,included,480
6,oz,476
7,length,475
8,capsule,472
9,comes,469
10,smell,468
11,When,464
12,shoe,462
13,bag,462
14,around,459
15,could,458
16,Ive,458
17,sure,455
18,products,455
19,width,454
20,regular,450
21,strips,443
22,list,443
23,power,439
24,pads,437
25,soy,436
26,read,432
27,protein,430
28,tried,429
29,device,426
30,Any,424
31,actually,424
32,serving,420
33,skin,420
34,blades,419
35,case,415
36,brace,413
37,bed,411
38,thanks,409
39,listed,409
40,floor,407
41,cover,400
42,version,395
43,else,394
44,bottom,393
45,shower,393
46,Could,392
47,Amazon,392
48,Please,389
49,taste,386
50,left,386
51,ones,386
52,correct,384
53,give,383
54,support,382
55,stay,381
56,Anyone,381
57,heat,380
58,gel,379
59,another,375
60,able,375
61,getting,368
62,warranty,367
63,whats,366
64,place,366
65,blade,364
66,pill,364
67,etc,364
68,pair,362
69,ordered,361
70,lot,361
71,mop,360
72,medium,357
73,measure,355
74,year,354
75,available,354
76,test,353
77,diameter,351
78,black,351
79,shipped,350
80,reviews,348
81,turn,347
82,shows,347
83,strap,346
84,received,346
85,tablets,344
86,sugar,344
87,easy,344
88,area,344
89,legs,343
90,brand,343
91,glass,342
92,scale,342
93,compare,341
94,USA,341
95,socks,340
96,weigh,340
97,cut,338
98,front,338
99,purchased,337
100,got,337
101,ingredient,337
102,include,336
103,cord,335
104,Also,335
105,think,335
106,bags,333
107,So,331
108,actual,331
109,works,328
110,And,328
111,replace,323
112,shaver,322
113,night,321
114,sizes,320
115,said,320
116,leg,319
117,wondering,318
118,kit,318
119,teeth,317
120,dry,317
121,voltage,315
122,cold,313
123,liquid,313
124,instructions,312
125,show,311
126,hot,311
127,normal,311
128,blue,310
129,number,310
130,people,309
131,inch,309
132,face,309
133,original,307
134,look,306
135,supposed,304
136,first,303
137,days,303
138,little,303
139,oils,302
140,part,302
141,open,301
142,person,301
143,total,301
144,phone,300
145,tub,300
146,x,300
147,organic,299
148,servings,298
149,material,298
150,heads,297
151,packaging,297
152,floors,297
153,body,297
154,gelatin,296
155,compatible,296
156,soft,296
157,China,294
158,watch,294
159,full,293
160,Hello,293
161,looks,292
162,question,291
163,A,291
164,change,290
165,seems,289
166,life,288
167,plug,288
168,monitor,287
169,vitamin,287
170,instead,286
171,tall,285
172,possible,284
173,run,284
174,years,283
175,wax,283
176,toilet,283
177,trimmer,282
178,stand,281
179,cane,280
180,anything,280
181,cleaning,280
